_id,session,run,meanScore,maxScore,alpha,gamma,exploreRate,batchSize,bufferSize
647d43127c9f21da126929bf,3,68,20.602941176470587,53,0.01,0.9,90.0,40,10000
647d43127c9f21da126929c0,3,69,20.52173913043478,53,0.01,0.9,90.0,40,10000
647d43127c9f21da126929c1,3,70,20.614285714285714,53,0.01,0.9,90.0,40,10000
647d43127c9f21da126929c2,3,71,21.12676056338028,57,0.01,0.9,90.0,40,10000
647d43127c9f21da126929c3,3,72,21.444444444444443,57,0.01,0.9,90.0,40,10000
647d43127c9f21da126929c4,3,73,21.383561643835616,57,0.01,0.9,90.0,40,10000
647d43127c9f21da126929c5,3,74,21.256756756756758,57,0.01,0.9,90.0,40,10000
647d43127c9f21da126929c6,3,75,21.253333333333334,57,0.01,0.9,90.0,40,10000
647d43127c9f21da126929c7,3,76,21.513157894736842,57,0.01,0.9,90.0,40,10000
647d43127c9f21da126929c8,3,77,21.415584415584416,57,0.01,0.9,90.0,40,10000
647d43127c9f21da126929c9,3,78,21.371794871794872,57,0.01,0.9,90.0,40,10000
647d43127c9f21da126929ca,3,79,21.39240506329114,57,0.01,0.9,90.0,40,10000
647d43127c9f21da126929cb,3,80,21.6,57,0.01,0.9,90.0,40,10000
647d43127c9f21da126929cc,3,81,21.580246913580247,57,0.01,0.9,90.0,40,10000
647d43127c9f21da126929cd,3,82,21.48780487804878,57,0.01,0.9,90.0,40,10000
647d43127c9f21da126929ce,3,83,21.433734939759034,57,0.01,0.9,90.0,40,10000
647d43127c9f21da126929cf,3,84,21.666666666666668,57,0.01,0.9,90.0,40,10000
647d43127c9f21da126929d0,3,85,21.705882352941178,57,0.01,0.9,90.0,40,10000
647d43127c9f21da126929d1,3,86,21.732558139534884,57,0.01,0.9,90.0,40,10000
647d43127c9f21da126929d2,3,87,21.666666666666668,57,0.01,0.9,90.0,40,10000
647d43127c9f21da126929d3,3,88,21.727272727272727,57,0.01,0.9,90.0,40,10000
647d43127c9f21da126929d4,3,89,21.617977528089888,57,0.01,0.9,90.0,40,10000
647d43127c9f21da126929d5,3,90,22.58888888888889,109,0.01,0.9,90.0,40,10000
647d43127c9f21da126929d6,3,91,22.47252747252747,109,0.01,0.9,90.0,40,10000
647d43127c9f21da126929d7,3,92,22.41304347826087,109,0.01,0.9,90.0,40,10000
647d43127c9f21da126929d8,3,93,22.548387096774192,109,0.01,0.9,90.0,40,10000
647d43127c9f21da126929d9,3,94,22.5,109,0.01,0.9,90.0,40,10000
647d43127c9f21da126929da,3,95,22.473684210526315,109,0.01,0.9,90.0,40,10000
647d43127c9f21da126929db,3,96,22.4375,109,0.01,0.9,90.0,40,10000
